,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
93,9b655d2471cb531b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,0110efb6cf705692,True,1.0,1.0,0.5509802506465759,1.0,1.0,1.0,0.8129084377694067
95,34369dd45b885ef6,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
96,80cbb31664715d6c,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
97,203d0a6cad805900,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
98,6df1e30977785789,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,8f58e126b1d35abe,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
100,ddfbc4edaaae53b5,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
101,efd0c9d43d9f5027,True,1.0,1.0,0.6665174535472277,1.0,1.0,1.0,0.8610489389780115
102,78bfd347670158a2,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
103,1906410e9fea5257,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,2a56e59564ab5860,True,1.0,1.0,0.724719860089414,1.0,1.0,1.0,0.8852999417039226
105,ea422842e0e655b3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,47688f8dcf9d547f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,d9816222a1f5591e,True,1.0,1.0,0.710153697139196,1.0,1.0,1.0,0.8792307071413316
108,dbb7594c1f47598d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,860bb408ee8a559b,True,1.0,1.0,0.9699682789847606,1.0,1.0,1.0,0.987486782910317
110,6bf4ad74da62568e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,52aa8f890b735f6b,True,1.0,1.0,0.246986282618351,1.0,1.0,1.0,0.6862442844243128
112,f796c5d79b9d5775,True,1.0,1.0,0.7811607726534279,1.0,1.0,0.5,0.9088169886055949
113,62eb6216a6425da9,True,1.0,1.0,0.6333825032806335,1.0,1.0,1.0,0.8472427097002639
114,d8f6ccef2f895d6c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,ddcc59d0bbae5c17,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
116,916e6f64dd5c5cf5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,ad69184f0e215af6,True,1.0,1.0,0.537047541799899,1.0,1.0,1.0,0.8071031424166245
118,ed7a5232dc7c5008,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,637e0946539456ce,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
120,88e02056dde15d41,True,1.0,1.0,0.7308498125503815,1.0,1.0,1.0,0.887854088562659
121,a5c9bcab52165145,True,1.0,1.0,0.9981255761623246,1.0,1.0,1.0,0.9992189900676353
122,88d08f76270d5e37,True,1.0,1.0,0.9342054758645671,1.0,1.0,1.0,0.9725856149435698
123,de7019f0af025036,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
124,f328205fbdc05912,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
125,da4ae3a1eb125028,True,1.0,1.0,0.14223920936877477,1.0,1.0,1.0,0.6425996705703229
126,3d2120dc97445f8a,True,1.0,1.0,0.6090717483388604,1.0,1.0,1.0,0.8371132284745251
127,4e97cb2d92db5830,True,1.0,1.0,0.6910948776115038,1.0,1.0,1.0,0.8712895323381266
128,a0ff0dff8e5d512f,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
129,0b5abd8495525a60,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,52d2f017fb1558b1,True,1.0,1.0,0.622882246370533,1.0,1.0,1.0,0.8428676026543888
131,b1e97fd2ea285d1c,True,1.0,1.0,0.6988784359936873,1.0,1.0,1.0,0.8745326816640363
132,5e5bee6716b357f0,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
133,9f37b5755d545c9b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,3010009fcb295507,True,1.0,1.0,0.8863021634401956,1.0,1.0,1.0,0.9526259014334149
135,47e024696bf85a8b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136,27068d25a6ec5544,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,182af302b08b5c94,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
138,average,True,0.8985507246376812,0.8043478260869565,0.6096614647926019,0.8405797101449275,0.9927536231884058,0.967391304347826,0.638687446079043
